name	diet	period	lived_in	type	length_m	taxonomy	named_in	species	flight		
cetiosauriscus	herbivorous	Mid Jurassic	West Europe	sauropod	15	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea	1927	stewarti	no		
cetiosaurus	herbivorous	Mid Jurassic	West Europe	sauropod	18	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae	1871	oxoniensis	no		
chaoyangsaurus	herbivorous	Late Jurassic	East Asia	ceratopsian	1.1	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia	1999	youngi	no		
chasmosaurus	herbivorous	Late Cretaceous	North America	ceratopsian	5	Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae	2000	belli	no		
chindesaurus	carnivorous	Late Triassic	North America	small theropod	4	Dinosauria Saurischia Theropoda Herrerasauridae	1995	bryansmalli	no		
chinshakiangosaurus	herbivorous	Late Jurassic	East Asia	sauropod	11	Dinosauria Saurischia Sauropodomorpha Sauropoda	1975	zhongheensis	no		
chirostenotes	omnivorous	Late Jurassic	North America	small theropod	1.7	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae	1924	pergracilis	no		
chubutisaurus	herbivorous	Early Cretaceous	South America	sauropod	23	Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria	1974	insignis	no		
chungkingosaurus	herbivorous	Late Jurassic	East Asia	armoured dinosaur	4	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae	1983	jiangbeiensis	no		
citipati	omnivorous	Late Cretaceous	East Asia	small theropod	2.1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae	2001	osmolskae	no		
coelophysis	carnivorous	Late Triassic	South Africa	small theropod	2	Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae	2000	bauri	no		
coelurus	carnivorous	Late Jurassic	North America	small theropod	1.8	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria	1879	fragilis	no		
coloradisaurus	omnivorous	Late Triassic	South America	sauropod	4	Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae	1978	brevis	no		
compsognathus	carnivorous	Late Jurassic	West Europe	small theropod	0.65	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae	1859	longipes	no		
conchoraptor	carnivorous	Late Cretaceous	East Asia	small theropod	1.5	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae	1986	gracilis	no		
confuciusornis	carnivorous	Early Cretaceous	East Asia	small theropod	0.25	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Ornithurae Avibrevicauda Pygostylia Confuciusornithidae	1995	sanctus	yes		
corythosaurus	herbivorous	Late Cretaceous	North America	euornithopod	10	Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae	1914	casuarius	no		
cryolophosaurus	carnivorous	Early Jurassic	Antarctica	large theropod	8	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria	1994	elliotti	no		
dacentrurus	herbivorous	Late Jurassic	West Europe	armoured dinosaur	6	Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae	1902	armatus	no		
daspletosaurus	carnivorous	Late Cretaceous	North America	large theropod	9	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae	1970	torosus	no		
datousaurus	herbivorous	Mid Jurassic	East Asia	sauropod	15	Dinosauria Saurischia Sauropodomorpha Sauropoda	1984	bashanensis	no		
deinocheirus	omnivorous	Late Cretaceous	East Asia	large theropod	10	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria	1970	mirificus	no		
deinonychus	carnivorous	Early Cretaceous	North America	small theropod	3	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae	1969	antirrhopus	no		
deltadromeus	carnivorous	Late Cretaceous	North Africa	large theropod	8.1	Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria	1996	agilis	no		
