name,diet,period,lived_in,type,length (m),taxonomy,named_in,species,flight,,
centrosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,6,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,2000,apertus,no,,
ceratosaurus,carnivorous,Late Jurassic,USA,large theropod,6,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,1884,nasicornis,no,,
cetiosauriscus,herbivorous,Mid Jurassic,United Kingdom,sauropod,15,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea,1927,stewarti,no,,
cetiosaurus,herbivorous,Mid Jurassic,United Kingdom,sauropod,18,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,1871,oxoniensis,no,,
chaoyangsaurus,herbivorous,Late Jurassic,China,ceratopsian,1.1,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,1999,youngi,no,,
chasmosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,2000,belli,no,,
chindesaurus,carnivorous,Late Triassic,USA,small theropod,4,Dinosauria Saurischia Theropoda Herrerasauridae,1995,bryansmalli,no,,
chinshakiangosaurus,herbivorous,Late Jurassic,China,sauropod,11,Dinosauria Saurischia Sauropodomorpha Sauropoda,1975,zhongheensis,no,,
chirostenotes,omnivorous,Late Jurassic,Canada,small theropod,1.7,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Caenagnathidae,1924,pergracilis,no,,
chubutisaurus,herbivorous,Early Cretaceous,Argentina,sauropod,23,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,1974,insignis,no,,
chungkingosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,4,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,1983,jiangbeiensis,no,,
citipati,omnivorous,Late Cretaceous,Mongolia,small theropod,2.1,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,2001,osmolskae,no,,
coelophysis,carnivorous,Late Triassic,Zimbabwe,small theropod,2,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,2000,bauri,no,,
coelurus,carnivorous,Late Jurassic,USA,small theropod,1.8,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,1879,fragilis,no,,
coloradisaurus,omnivorous,Late Triassic,Argentina,sauropod,4,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,1978,brevis,no,,
compsognathus,carnivorous,Late Jurassic,Germany,small theropod,0.65,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,1859,longipes,no,,
conchoraptor,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,1986,gracilis,no,,
